NAME,POS,TEAM,GP,FGM,FGA
Damien Wilkins,SG,PHI,61,2.4,5.2
Reggie Jackson,PG,OKC,70,2.1,4.6
Michael Kidd-Gilchrist,SF,CHA,78,3.6,7.9
Terrence Jones,PF,HOU,19,2.3,4.9
Landry Fields,SF,TOR,51,2.0,4.4
Kendrick Perkins,C,OKC,78,1.8,4.0
Greg Stiemsma,C,MIN,76,1.7,3.7
Richard Jefferson,SF,GS,56,1.1,2.4
Donatas Motiejunas,PF,HOU,44,2.2,4.8
Tobias Harris,SF,MIL/ORL,55,4.2,9.3
Josh McRoberts,PF,ORL/CHA,67,2.3,5.1
Pablo Prigioni,PG,NY,78,1.3,2.8
Lavoy Allen,C,PHI,79,2.6,5.7
Ian Mahinmi,C,IND,80,1.9,4.1
Luke Ridnour,PG,MIN,82,4.5,9.9
Aaron Brooks,PG,HOU/SAC,53,2.7,6.0
Kyrie Irving,PG,CLE,59,8.2,18.1
Jarrett Jack,PG,GS,79,4.9,10.8
Darrell Arthur,PF,MEM,59,2.7,6.1
Andrew Bogut,C,GS,32,2.6,5.8
Stephen Curry,PG,GS,78,8.0,17.8
Bismack Biyombo,PF,CHA,80,2.0,4.3
Jeff Teague,PG,ATL,80,5.5,12.2
Andre Iguodala,SG,DEN,80,5.0,11.0
Kevin Martin,SG,OKC,77,4.5,10.1
Jonas Jerebko,PF,DET,49,2.9,6.4
O.J. Mayo,SG,DAL,82,5.6,12.5
Carmelo Anthony,SF,NY,67,10.0,22.2
Ray Allen,SG,MIA,79,3.7,8.2
Kris Humphries,PF,BKN,65,2.1,4.8
Roy Hibbert,C,IND,79,4.9,10.9
Danny Green,SG,SA,80,3.7,8.3
Glen Davis,PF,ORL,34,6.3,14.1
DeAndre Liggins,SG,OKC,39,0.5,1.2
Gerald Henderson,SG,CHA,68,5.6,12.6
Jason Maxiell,PF,DET,72,2.8,6.3
John Jenkins,SG,ATL,61,2.1,4.8
Eric Bledsoe,PG,LAC,76,3.3,7.5
Marreese Speights,PF,CLE/MEM,79,3.3,7.4
DeMar DeRozan,SG,TOR,82,6.7,15.0
Tony Allen,SG,MEM,79,3.6,8.1
Josh Harrellson,C,MIA,6,0.7,1.5
George Hill,PG,IND,76,5.1,11.5
Goran Dragic,PG,PHX,77,5.2,11.8
Mike Dunleavy,SF,MIL,75,3.7,8.3
Chuck Hayes,PF,SAC,74,1.1,2.6
Martell Webster,SF,WSH,76,3.7,8.4
Jeremy Lin,PG,HOU,82,4.8,10.9
Anthony Morrow,SG,ATL/DAL,41,1.6,3.5
Beno Udrih,PG,MIL/ORL,66,3.2,7.2
John Wall,PG,WSH,49,6.6,15.0
Mike Conley,PG,MEM,80,5.2,11.8
Earl Clark,SF,LAL,59,2.9,6.5
Deron Williams,PG,BKN,78,6.3,14.4
Chris Johnson,SF,MEM,8,1.4,3.1
Isaiah Thomas,PG,SAC,79,4.6,10.5
Khris Middleton,SF,DET,27,2.3,5.2
Harrison Barnes,SF,GS,81,3.4,7.8
Arron Afflalo,SG,ORL,64,6.2,14.1
Russell Westbrook,PG,OKC,82,8.2,18.7
Tyler Zeller,C,CLE,77,3.2,7.3
Jamal Crawford,SG,LAC,76,5.9,13.4
Devin Harris,PG,ATL,58,3.3,7.6
Festus Ezeli,C,GS,78,0.9,2.2
Tayshaun Prince,SF,DET/MEM,82,4.4,10.0
James Harden,SG,HOU,78,7.5,17.1
Johan Petro,C,ATL,31,1.5,3.5
Paul Pierce,SF,BOS,77,6.2,14.2
DeQuan Jones,SF,ORL,63,1.5,3.5
Nando de Colo,PG,SA,72,1.5,3.3
Wesley Matthews,SG,POR,69,5.1,11.7
Vince Carter,SG,DAL,81,4.6,10.6
Ekpe Udoh,PF,MIL,76,1.5,3.5
Tornike Shengelia,SF,BKN,19,0.5,1.2
Gordon Hayward,SG,UTAH,72,4.7,10.7
J.J. Redick,SG,MIL/ORL,78,4.9,11.3
Jason Terry,SG,BOS,79,3.6,8.2
Nate Robinson,PG,CHI,82,4.9,11.2
Mike Miller,SG,MIA,59,1.7,3.9
Greivis Vasquez,PG,NO,78,5.6,13.0
Roger Mason Jr.,SG,NO,69,1.9,4.4
Austin Daye,PF,DET/MEM,55,1.6,3.8
Tyler Hansbrough,PF,IND,81,2.2,5.0
Reggie Williams,SF,CHA,40,1.4,3.3
Jeffery Taylor,SG,CHA,77,2.2,5.2
James White,SG,NY,57,0.9,2.0
Jrue Holiday,PG,PHI,78,7.1,16.5
Brendan Haywood,C,CHA,61,1.5,3.5
Royal Ivey,PG,PHI,53,1.2,2.7
Leandro Barbosa,SG,BOS/WSH,41,2.0,4.7
Derrick Williams,PF,MIN,78,4.3,10.1
Thomas Robinson,PF,HOU/SAC,70,2.0,4.6
Mo Williams,PG,UTAH,46,5.0,11.6
Richard Hamilton,SG,CHI,50,4.1,9.5
Damian Lillard,PG,POR,82,6.7,15.7
Mario Chalmers,PG,MIA,77,2.9,6.9
Marcus Thornton,SG,SAC,72,4.6,10.8
Jeff Adrien,SF,CHA,52,1.4,3.2
Dominic McGuire,SF,NO/IND/TOR,26,0.9,2.2
Jared Cunningham,SG,DAL,8,0.8,1.8
Jarvis Varnado,PF,BOS/MIA,13,0.2,0.5
Kyle Singler,SG,DET,82,3.4,7.8
Quincy Pondexter,SF,MEM,59,2.2,5.1
Raymond Felton,PG,NY,68,5.5,13.0
Wayne Ellington,SG,CLE/MEM,78,2.9,6.8
Hamed Haddadi,C,PHX/TOR/MEM,30,1.2,2.7
Luol Deng,SF,CHI,75,6.2,14.6
Manu Ginobili,SG,SA,60,3.8,9.0
Corey Brewer,SF,DEN,82,4.6,10.8
Caron Butler,SF,LAC,78,3.9,9.2
Marvin Williams,PF,UTAH,73,2.7,6.4
Ryan Anderson,PF,NO,81,5.8,13.8
Joe Johnson,SG,BKN,72,6.2,14.6
Kemba Walker,PG,CHA,82,6.4,15.2
Nicolas Batum,SF,POR,73,4.8,11.4
Steve Blake,PG,LAL,45,2.5,6.0
Louis Williams,SG,ATL,39,4.8,11.4
Marcus Morris,PF,HOU/PHX,77,2.9,6.8
J.R. Smith,SG,NY,80,6.6,15.6
Klay Thompson,SG,GS,82,6.2,14.7
